symbol,business_word,,stock_name
SZ300059,金融_数据服务_天天基金网_基金,,东方财富
SH600036,外汇_代理_政府债券_银行,,招商银行
SH600030,资产管理_证券_证券投资_经纪,,中信证券
SH601788,证券_券商_金融,,光大证券
SH600859,糕点_针纺织品_出租_百货_免税,,王府井
00700,网络广告_广告_游戏_社交,,腾讯控股
SH601878,融资融券_证券_银行业务_资产管理,,浙商证券
SH600009,航空_货邮_旅客_航班_吞吐量,,上海机场
BABA,电商_淘宝_天猫_阿里云_支付宝_蚂蚁金服_闲鱼_阿里云,,阿里巴巴
SH600536,软件_应用软件,,中国软件
SH600918,投资基金_证券投资_证券_代销,,中泰证券
SZ000876,饲料_肉禽_饲养_养猪_刘永好_生猪_出栏,,新希望
SZ300033,同花顺_信息服务_金融,,同花顺
SZ000776,证券投资_证券_财务顾问_投资基金_经纪,,广发证券
SH601688,证券_承销_资产管理,,华泰证券
SH601990,证券_证券投资_代销_融资融券_资产管理_券商_认购,,南京证券
SH601519,信息服务_互联网金融_软件,,大智慧
AAPL,应用程序_手机_电子产品,,苹果
SZ000066,电源_网络安全_电子_高新_芯片,,中国长城
SH601099,证券_证券投资_承销,,太平洋
SH600109,证券_证券投资_咨询_承销_券商_基金,,国金证券
SH601377,资产管理_证券_投资基金_咨询,,兴业证券
SH600993,药品_化妆品_口红_肛肠,,马应龙
SH600332,原料药_零售_化学_红罐_医药_凉茶_广药,,白云山
SH601108,资产管理_证券_融资融券,,财通证券
GSX,跟谁学_教育_学习_美好_互联网_课程,,跟谁学
SZ002351,汽车音响_多媒体_耳机_漫步者_蓝牙_降噪_无线耳机,,漫步者
SH600837,证券投资_代销_证券_债券,,海通证券
SH601816,旅客_京沪高速铁路_运输_高铁,,京沪高铁
AMZN,用品_亚马逊公司_玩具_户外用品_电商_贝佐斯,,亚马逊
SZ002624,游戏_手游_文化,,完美世界
3323,工程_水泥_玻璃纤维_复合材料,,中国建材
SH600598,房地产开发_种植业_农业,,北大荒
SH600415,市场开发_商品销售_酒店_地摊,,小商品城
SH601360,互联网_互联网安全_安全,,三六零
SH601857,天然气_原油_石油_化工产品_管道_储气库,,中国石油
SZ000671,房地产开发_中国房地产_电力_代购_置业_地块_楼面,,阳光城
SH600600,啤酒_青岛啤酒,,青岛啤酒
SH600720,水泥,,祁连山
SZ002310,治理_设计_园林_企业管理,,东方园林
SZ300803,信息服务_证券投资_软件服务_电信业务,,指南针
SZ000802,经纪_旅游_网剧_新媒体_影片,,北京文化
SH601236,证券投资_证券_资产管理_投资基金,,红塔证券
SH603881,数据中心_计算机_软硬件_通信工程_机柜,,数据港
SZ000750,证券_资产管理_证券投资_经纪_券商_金融债,,国海证券
SH600068,工程_承包_建筑_地产,,葛洲坝
SH600712,零售_南宁市_维修_零售业务_进出口贸易_百货大楼,,南宁百货
SZ002163,幕墙_玻璃_建筑_施工_机场,,海南发展
SH601211,证券投资_证券_券商,,国泰君安
SH600118,卫星_应用_微小_研制_系统集成_导航_导航系统,,中国卫星
SH600004,货邮_起降_航站楼_旅客_入境_客流_航班_智慧_春运_吞吐量_免税_机场,,白云机场
SH600977,影视_电影_经营项目_影片_制作,,中国电影
SZ002500,资产管理_期货经纪_证券_融资融券_券商,,山西证券
SZ300364,出版物_互联网_出版_游戏,,中文在线
SZ000089,航空_客货_过港_深圳机场_客货运输_货邮_航线_粤港澳_航空_航班_机场,,深圳机场
BIDU,搜索_百度_中文_营销_互联网_hao123_度小满_智能音箱_地图_自动驾驶,,百度
SH600804,因特网_电信_长城_崔航_计提_运营商_宽带_数据中心_数据,,鹏博士
SZ002208,房地产开发_商业地产,,合肥城建
SH603043,分支机构_零售_批发_品牌_食品,,广州酒家
SZ000728,资产管理_基金_投资管理_证券_证券投资_券商,,国元证券
SH600338,精矿_铜精矿_矿产资源_原矿_开采_矿业_精矿,,西藏珠峰
SH601881,证券_经纪_投资管理_券商,,中国银河
SH603000,信息服务_互联网_新闻_人民日报社_媒体_版权,,人民网
SH601901,资产管理_证券_证券投资_经纪_方正集团_券商,,方正证券
SZ000166,股权投资_投资_评级_投资管理_资产,,申万宏源
SZ000735,农副_加工_代缴_代收_水产品_生猪,,罗牛山
SZ002673,资产管理_证券_融资融券_券商,,西部证券
SZ300783,三只松鼠_粉丝_食品_旗舰店_电商_品牌_旗舰店_供应链_坚果,,三只松鼠
SH601555,资产管理_证券_证券投资_经纪_电商_品牌_旗舰店_供应链_坚果,,东吴证券
1177,西药_制剂_医药,,中国生物制药
SZ300024,机器人_自动化_装备_制造_生产线_人工智能_智能化,,机器人
SZ000783,证券_资产管理_代销_承销_基金_券商,,长江证券
SZ002918,陶瓷产品_瓷质_陶瓷砖_高品质,,蒙娜丽莎
NTES,游戏_用户_游戏_丁磊_互联网_资讯_网站,,网易
TAL,教育_学而思_网校_课外辅导_好未来集团_课程_网校,,好未来
CCL,邮轮_旅游_荷美_阿拉斯加_美国_复航_新冠,,嘉年华邮轮
SZ002926,资产管理_证券投资_证券_证券化_券商,,华西证券
SH600958,证券投资_证券_代销_投资基金_融资融券_资管_券商,,东方证券
SZ002291,零售_皮革制品_移动互联网_皮鞋_批发_电商_时尚,,星期六
SH600377,高速公路_公路沿线_沪宁_路桥_通行_高速公路_收费站,,宁沪高速
SZ000686,证券_证券投资_承销_保荐_券商,,东北证券
SH600909,证券_证券投资_资产管理_代销_券商,,华安证券
SH600056,医用_设备_手术器械_器具_免疫_物资_上海_口罩_采购_药品_医用_疫情,,中国医药
SH603103,放映_电影_影院_院线_影视城_剧组_院线_银幕_电影_票房,,横店影视
SZ002582,红枣_肉脯_果干_炒货_食品_红枣_食品_渠道_零食,,好想你
AAL,美国航空_美国航空公司_沃斯堡_航空公司_停飞_航班_航空业_债券,,美国航空
SZ300785,电信业务_不得_值得买_电商_百货,,值得买
SH603737,涂料_建筑_工程_胶粘剂_涂料_油漆,,三棵树
SH603883,零售_信息服务_药品_食品_药房_医药集团_药店_门店,,老百姓
SZ002939,证券投资_证券_代销_资产管理_融资融券_承销_资产_证券公司_基金_券商,,长城证券
SH600369,证券_证券投资_资产管理_代销_承销_资产_证券公司_基金_券商,,西南证券
OXY,天然气_液化_凝析油_化工_西方石油公司_油气_油价_原油,,西方石油
SZ000997,计算机应用_销及_消防工程_认证_数字_集群_人脸识别,,新大陆
WB,微博_内容_实时_社交_视频_内容_咨询_互联网_博客,,微博
SH600373,出版物_音像_艺术品_出版_传媒集团,,中文传媒
SZ002945,资产管理_证券_咨询_证券公司_券商,,华林证券
9922,餐厅_运营者_九毛九_酸菜鱼_餐饮_外卖_食品,,九毛九
SZ002043,木制品_装饰_室内装饰_原木_装饰_木门_家居_品牌,,兔宝宝
SZ002736,证券_资产管理_证券投资_投资基金_券商,,国信证券
SH600054,旅游_索道_全国_游客_风景区_旅游集团,,黄山旅游
SH601198,资产管理_融资融券_证券_另类投资_券商,,东兴证券
SH603712,无线通信_制造_设备_专网_现金管理,,七一二
SH601375,证券_资产管理_代销_证券公司_券商,,中原证券
SH600216,化学品_添加剂_制药_营养品_维生素_外资,,浙江医药
SH600132,啤酒_包装物,,重庆啤酒
BAC,控股公司_美国银行公司_机构投资者_资产管理_美国_流动性_国债_银行_美银,,美国银行
SH601880,仓储_港口_物流_码头_港口_辽宁_,,大连港
SZ002195,互联网_信息服务_金融科技_金融_科技,,二三四五
SH600637,设计_视频_机电工程_广播_内容_上海__媒体,,东方明珠
SZ000591,太阳能_光伏_经营管理_制造业_家具_公司,,太阳能
SH600903,燃气_工程设计_气源_管道_天然气,,贵州燃气
SZ000061,农产品_批发市场_营业执照_经营和管理,,农产品
JPM,金融服务_投资银行_银行_银行_支付_市场,,摩根大通
SZ300766,智能_开发者_数据_风控_推送_公共服务_数据服务_智能,,每日互动
SH601928,图书_出版物_音像制品_发行_出版_出版_图书_教材,,凤凰传媒
SH603008,床垫_家具_研发_家居_品牌_睡眠,,喜临门
SZ000610,旅行社_限定_分支机构_旅游_酒店_投资收益,,西安旅游
YY,视频_人工智能_社交_虎牙直播_人工智能_平台,,欢聚
SZ000560,业态_房地产_二手房_门店_租赁平台,,我爱我家
SZ000721,食品_餐饮_加工_餐饮行业,,西安饮食
SH603888,信息服务_互联网_电信业务_人工智能_媒体_信息,,新华网
HUYA,虎牙直播_直播_战队_欢聚时代_英雄联盟_游戏_技术_平台_内容_,,虎牙
GS,高盛集团_金融机构_附属公司_投资管理_投资_券商_美国,,高盛
SH603040,锻件_挺柱_精密_气门_液压_锻件_汽车_制造业,,新坐标
SZ000996,物流_期货_国际期货_汽车_交易_服务行业_交运,,中国中期
SH600317,港口_港口机械_堆存_港口_辽宁,,营口港
JRJC,投顾_服务平台_证券,,金融界
SH600663,陆家嘴_陆家嘴金融贸易区_开发_用品_土地开发,,陆家嘴
SH601158,给排水_供水_污水_自来水,,重庆水务
SH601139,燃气_石油气_管道_天然气_能源,,深圳燃气
SH600658,房地产_房地产销售_科技服务,,电子城
SH600628,零售_百货_物业,,新世界
SINA,社交媒体_新浪_媒体_数字媒体,,新浪
2607,药品_原料药_医药研发_医药,,上海医药
SH603393,燃气_天然气_能源,,新天然气
SZ300688,创业_创业服务_创业平台,,创业黑马
SH600736,房地产开发_基础设施_地产_房地产,,苏州高新
SH601333,铁路_运输服务_客货_铁路运输,,广深铁路
SH603848,晾衣架_零售_家居_智能家居,,好太太
SH600133,工程项目_建设_科技_科技园区_环保科技,,东湖高新
SH600551,图书_出版_印刷_出版传媒,,时代出版
570,药品_药业_医药_制药,,中国中药
SH600017,港区_港口_港务管理,,日照港
SH603357,工程_勘察_市政工程_工程设计,,设计总院
SH601000,港口_运输_仓储,,唐山港
SZ300469,系统集成_计算机_网络工程,,信息发展
SZ000978,旅游_客运_游船,,桂林旅游
1508,再保险_再保险业务_财产保险_保险经纪,,中国再保险
SZ000557,生态农业_葡萄酒_仓储_运输,,西部创业
SH600261,照明_节能灯_荧光灯_电器,,阳光照明
SH601949,出版_出版物_印刷,,中国出版
1456,证券_券商,,国联证券
SZ000430,旅游_旅行社_旅游客运,,张家界
SZ000716,食品_食品加工,,黑芝麻
1385,芯片设计_集成电路_芯片,,上海复旦
SH600790,纺织品_面料_服装,,轻纺城
SZ300336,影视剧_传媒_影视制作,,新文化
SZ000665,电视运营_数字电视_有线电视_广播电视,,湖北广电
SH603116,鞋业_皮鞋_皮具,,红蜻蜓
SH603099,旅游_旅游客运_旅行社,,长白山
SH601008,港口_港务管理,,连云港
SH600295,羊绒_服装_煤炭,,鄂尔多斯
NCTY,游戏_网络游戏_电动车_电动汽车,,第九城市
SH600139,矿产资源_矿产_有色金属,,西部资源
SH600558,焊丝_焊剂_焊条,,大西洋
SH600098,电力_能源电力_能源,,广州发展
SZ300778,工程设计_城乡规划_工程_道桥,,新城市
SH600405,电力_直流电源_电源_交流电源,,动力源
LIZI,音频_UGC社区_音频社区,,荔枝
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
